last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	participation	weekly %	midterm	Final	Adjusted Final	Total	Grade
8188	9	15	20	19	17	13	18	19	15	87.88%	81	55	63	76.55	2.4
1960	9	15	19	19	14	7	18	18	20	84.24%	80	59	67	76.50	2.4
5664	6	15	20	19	20	19	17	17	20	92.73%	65	58	66	76.49	2.4
3304	9	11	20	18	18	17	18	17	20	89.70%	71	58	66	76.48	2.4
8489	8	15	20	20	18	20	19	17	20	95.15%	82	47	55	76.46	2.4
5209	10	15	20	20	18	20	19	19	20	97.58%	71	50	58	76.43	2.4
5039	9	15	20	19	16	20	17	19	20	93.94%	80	49	57	76.38	2.4
8212	9	15	18	20	19	20	14	14	20	90.30%	73	56	64	76.32	2.4
5213	10	15	20	18	19	20	5	15	20	86.06%	81	56	64	76.22	2.4
5357	8	15	18	20	20	20	10	19	20	90.91%	85	49	57	76.16	2.4
0042	8	14	19	20	16	16	20	15	20	89.70%	81	52	60	76.08	2.3
5695	9	15	20	20	20	20	19	19	20	98.18%	76	46	54	76.07	2.3
5547	10	14	20	20	10	19	19	17	20	90.30%	83	50	58	75.92	2.3
2479	9	15	18	18	20	 	17	19	20	82.42%	86	56	64	75.77	2.3
6492	8	15	17	17	17	19	8.5	14	20	82.12%	64	67	75	75.65	2.3
1505	9	13	12	19	16	20	15	18	20	86.06%	85	52	60	75.42	2.3
4655	7	14	17	19	8.5	19	4	18	20	76.67%	75	66	74	75.27	2.3
6913	6	15	20	18	20	20	16	17	20	92.12%	74	51	59	75.25	2.3
2829	9	15	20	19	20	20	17	16	20	94.55%	65	53	61	75.22	2.3
1235	7	12	20	18	19	16	7	19	20	83.64%	80	56	64	75.05	2.3
9261	6	15	18	19	19	20	17	20	20	93.33%	58	57	65	74.93	2.2
1620	8	14	15	19	14	10	12	18	20	78.79%	73	64	72	74.92	2.2
1535	9	13	20	19	17	10	19	18	20	87.88%	76	53	61	74.75	2.2
0663	9	15	20	19	17	20	10	 	0	66.67%	66	79	87	74.67	2.2
1069	10	14	19	20	20	20	7.5	18	20	90.00%	66	55	63	74.40	2.2
1551	8	14	20	20	16	20	12	15	20	87.88%	68	56	64	74.35	2.2
0930	10	15	20	10	20	10	19	16	20	84.85%	80	53	61	74.34	2.2
0523	9	15	20	16	19	12	18	20	3	80.00%	73	61	69	74.20	2.2
7527	7	15	20	9.5	9	19	20	19	20	83.94%	85	51	59	74.18	2.2
3668	10	15	20	20	20	19	10	19	20	92.73%	79	45	53	74.09	2.2
4647	7	15	20	14	12	6	13	8	20	69.70%	81	67	75	74.08	2.2
2267	9	13	18	10	20	19	15	18	20	86.06%	72	55	63	74.02	2.2
3630	7	15	20	20	19	19	20	16	20	94.55%	75	45	53	74.02	2.2
3984	8	 	13	20	20	12	8	15	20	70.30%	83	65	73	73.92	2.1
1712	6	14	20	18	19	18	9	15	20	84.24%	79	53	61	73.90	2.1
4772	9	14	16	19	18	17	0	9	20	73.94%	87	59	67	73.78	2.1
3742	10	15	20	20	18	20	18	8.5	20	90.61%	73	49	57	73.64	2.1
1079	7	15	19	15	18	20	20	19	20	92.73%	80	43	51	73.49	2.1
6435	9	15	20	13	16	20	13	18	20	87.27%	72	52	60	73.31	2.1
6339	7	13	20	18	19	 	 	14	20	67.27%	89	63	71	73.11	2.1
9022	8	15	20	20	19	12	19	9.5	20	86.36%	76	50	58	72.95	2.1
1658	9	15	20	20	19	4	20	17	20	87.27%	81	46	54	72.71	2.0
8349	8	15	20	20	20	20	20	19	20	98.18%	55	48	56	72.67	2.0
2139	8	12	18	20	18	12	7.5	7.5	20	74.55%	78	60	68	72.62	2.0
4259	10	14	20	19	19	20	16	18	20	94.55%	70	44	52	72.62	2.0
6272	8	14	20	15	16	8	15	14	20	78.79%	89	50	58	72.52	2.0
6701	9	15	18	19	19	 	7	15	20	73.94%	89	54	62	72.18	2.0
8495	8	15	18	19	18	20	15	18	20	91.52%	77	42	50	72.01	2.0
3383	9	15	20	20	19	20	16	20	20	96.36%	63	43	51	71.55	1.9
2475	6	10	13	17	17	 	18	 	20	61.21%	79	70	78	71.48	1.9
5025	10	15	10	15	20	19	18	17	18	86.06%	69	50	58	71.42	1.9
6069	7	15	17	18	17	19	15	14	20	86.06%	76	46	54	71.22	1.9
1913	10	15	18	19	18	6.5	8	19	20	80.91%	81	48	56	70.96	1.9
4761	8	10	16	19	18	 	16	18	20	75.76%	81	53	61	70.90	1.9
7385	10	15	20	19	14	12	14	15	20	84.24%	86	42	50	70.90	1.9
8741	8	14	18	19	19	19	17	17	20	91.52%	69	43	51	70.81	1.9
1862	8	14	17	17	7.5	7.5	9.5	19	20	72.42%	75	59	67	70.77	1.9
2336	8	14	20	20	16	19	9.5	18	20	87.58%	60	51	59	70.63	1.9
4358	8	15	20	19	18	19	18	9	20	88.48%	78	41	49	70.59	1.9
6229	8	15	20	20	20	9	10	19	20	85.45%	80	43	51	70.58	1.9
9311	9	14	20	18	19	20	17	19	20	94.55%	59	44	52	70.42	1.8
0540	9	15	20	10	18	13	 	19	20	75.15%	77	54	62	70.26	1.8
3420	9	14	15	18	15	15	10	17	20	80.61%	78	48	56	70.24	1.8
8251	7	14	20	20	17	20	20	18	20	94.55%	66	40	48	70.22	1.8
9275	9	14	18	19	16	19	17	18	20	90.91%	69	42	50	70.16	1.8
6605	9	15	19	20	8	5	13	17	20	76.36%	80	51	59	70.15	1.8
8672	8	14	17	15	16	6	18	16	20	78.79%	79	49	57	70.12	1.8
9207	9	15	15	20	10	16	16	17	20	83.64%	76	45	53	69.85	1.8
0091	8	14	17	19	15	13	12	17	18	80.61%	74	49	57	69.84	1.8
7771	8	15	20	19	17	20	17	18	20	93.33%	72	37	45	69.73	1.8
0580	7	15	20	20	14	7	16	15	20	81.21%	67	51	59	69.48	1.7
6203	10	12	18	9	13	8	7	18	20	69.70%	76	58	66	69.48	1.7
4279	9	15	18	14	15	19	10	15	20	81.82%	73	46	54	68.93	1.7
3820	9	14	16	15	17	 	14	18	20	74.55%	81	49	57	68.82	1.7
0389	10	15	19	20	18	10	8.5	20	20	85.15%	83	36	44	68.26	1.6
6317	8	15	20	18	18	 	17	17	20	80.61%	68	48	56	68.24	1.6
2755	10	12	20	9.5	9.5	9	5	19	20	69.09%	77	55	63	68.24	1.6
7964	10	15	20	20	17	10	16	0	18	76.36%	67	52	60	67.95	1.6
0501	8	15	17	18	10	18	16	16	20	83.64%	76	40	48	67.85	1.6
0030	9	14	20	20	20	 	 	 	20	62.42%	82	58	66	67.77	1.6
7160	9	15	20	19	20	 	 	11	12	64.24%	88	53	61	67.70	1.6
6450	6	15	17	20	19	14	20	17	20	89.70%	59	42	50	67.68	1.6
2198	8	14	19	19	20	9	20	19	20	89.70%	47	47	55	67.28	1.5
8235	7	14	20	16	19	6	9.5	18	20	78.48%	71	46	54	67.19	1.5
1354	9	15	20	19	15	 	16	20	20	81.21%	81	38	46	67.08	1.5
8506	8	15	20	19	17	 	17	16	12	75.15%	81	44	52	67.06	1.5
0875	9	13	18	14	16	 	 	13	12	57.58%	75	64	72	66.83	1.5
9970	8	15	16	13	18	16	18	17	20	85.45%	56	45	53	66.58	1.5
8510	8	11	18	18	18	19	15	13	20	84.85%	59	44	52	66.54	1.5
3191	9	14	18	18	18	19	15	16	20	89.09%	60	39	47	66.44	1.5
1394	8	15	20	20	18	0	 	 	20	61.21%	74	59	67	66.08	1.4
0842	9	14	18	15	16	10	16	15	20	80.61%	55	49	57	66.04	1.4
2499	9	15	17	18	18	4	 	 	20	61.21%	28	79	87	64.88	1.3
1397	6	15	16	14	18	 	 	16	20	63.64%	71	55	63	64.85	1.3
2551	9	15	16	19	19	 	15	 	12	63.64%	69	56	64	64.85	1.3
0944	9	15	16	19	16	20	14	 	20	78.18%	67	42	50	64.67	1.3
8789	6	14	19	16	18	 	10	16	20	72.12%	57	53	61	64.65	1.3
5394	9	15	20	18	19	17	19	15	20	92.12%	52	35	43	64.45	1.3
1921	8	15	18	20	10	11	5	18	20	75.76%	70	40	48	63.50	1.2
4291	9	14	20	5	6	 	16	 	20	54.55%	86	53	61	63.42	1.2
1102	9	15	18	18	17	14	12	 	20	74.55%	61	45	53	63.22	1.2
4559	9	15	7	19	20	4	18	19	20	79.39%	63	39	47	63.16	1.2
7351	8	15	18	19	17	 	 	18	18	68.48%	63	47	55	61.99	1.1
1606	6	14	18	19	19	 	 	15	20	67.27%	73	42	50	61.51	1.0
7313	6	15	14	5	20	11	6	8	20	63.64%	70	46	54	61.05	1.0
8442	8	13	18	6	14	 	8	17	15	60.00%	76	46	54	60.80	1.0
9963	7	7	18	11	18	8.5	15	19	20	74.85%	65	36	44	60.54	1.0
0462	7	11	20	15	16	18	12	16	20	81.82%	60	29	37	59.53	0.9
9309	6	14	9	20	18	18	17	16	20	83.64%	38	38	46	59.45	0.9
0644	9	15	20	18	17	20	18	19	20	94.55%	58	17	25	59.42	0.9
2713	7	15	20	14	19	7.5	18	16	20	82.73%	57	29	37	59.29	0.9
4190	9	14	14	15	15	 	5	0	15	52.73%	81	46	54	58.89	0.8
5805	8	15	20	20	16	0	 	 	20	60.00%	86	36	44	58.80	0.8
6153	 	12	20	14	14	10	13	14	20	70.91%	55	40	48	58.56	0.8
9665	9	15	20	 	13	 	 	 	20	46.67%	79	52	60	58.47	0.8
7427	9	15	14	14	16	 	 	1	20	53.94%	64	51	59	57.98	0.7
6852	8	15	17	20	19	 	8	 	12	60.00%	72	40	48	57.60	0.7
3041	7	15	19	19	16	 	 	14	20	66.67%	60	39	47	57.47	0.7
7010	8	14	19	18	16	6	8	15	20	75.15%	50	35	43	57.26	0.7
4943	8	15	19	20	16	13	5	17	20	80.61%	57	26	34	57.24	0.7
0240	6	15	19	15	 	16	6	8.5	20	63.94%	64	39	47	57.18	0.7
7346	8	15	20	20	18	10	17	18	20	88.48%	28	31	39	56.59	0.0
9109	5	15	16	20	17	20	20	19	3	81.82%	38	32	40	56.33	0.0
2045	9	14	16	19	17	20	19	19	20	92.73%	77	 	8	55.69	0.0
2039	7	15	20	19	19	13	17	12	20	86.06%	54	18	26	55.62	0.0
4509	10	15	20	8.5	20	 	8	15	15	67.58%	58	33	41	55.03	0.0
0862	7	13	15	13	14	3	0	13	15	56.36%	70	38	46	54.95	0.0
9978	8	12	12	20	18	 	19	8	20	70.91%	54	30	38	54.36	0.0
8571	10	15	15	19	16	 	 	 	20	57.58%	70	35	43	54.23	0.0
2701	8	15	20	 	9	9.5	 	 	15	46.36%	62	48	56	53.35	0.0
2769	8	14	19	19	13	16	8	18	20	81.82%	31	27	35	52.93	0.0
1238	10	15	19	14	20	 	 	 	20	59.39%	57	30	38	50.36	0.0
8436	7	12	16	8	10	 	 	 	20	44.24%	74	32	40	48.50	0.0
9525	3	15	14	13	6	7	 	 	20	47.27%	73	29	37	48.31	0.0
8007	9	15	20	20	16	 	 	 	12	55.76%	73	18	26	47.30	0.0
8300	8	13	 	13	16	 	 	 	18	41.21%	69	33	41	46.68	0.0
9366	8	15	14	18	19	 	 	 	20	56.97%	50	21	29	44.39	0.0
2570	8	12	7	 	 	18	 	 	20	39.39%	57	34	42	43.96	0.0
0937	9	15	18	13	18	 	7	17	18	69.70%	53	3	11	42.88	0.0
0720	7	13	16	18	16	19	16	 	12	70.91%	56	 	8	42.76	0.0
1072	 	15	20	18	20	9	 	 	20	61.82%	50	8	16	41.13	0.0
6562	8	8	18	16	15	 	5	8	20	59.39%	39	11	19	39.16	0.0
9646	9	14	20	 	 	 	 	 	3	27.88%	46	39	47	39.15	0.0
8798	6	 	 	15	4	 	 	 	20	27.27%	62	27	35	37.31	0.0
